Alternatif,Nomor_Polis,Nilai_Preferensi,Ranking_SAW
A04,POL-3314,0.7898376747880586,1
A06,POL-0106,0.714928063376699,2
A13,POL-0564,0.661477162555712,3
A02,POL-3030,0.5664168007354622,4
A03,POL-1625,0.5605720862500748,5
A11,POL-0058,0.5452474409145845,6
A40,POL-2371,0.5225180808504534,7
A31,POL-0817,0.516282396040596,8
A15,POL-3114,0.511794455663672,9
A07,POL-1707,0.46958389685138513,10
A28,POL-3180,0.4549432812208699,11
A10,POL-0400,0.4481908754126176,12
A01,POL-2513,0.4251716254092133,13
A16,POL-1510,0.42314429484034977,14
A22,POL-3654,0.4173196632590618,15
A08,POL-3008,0.41137239717115337,16
A25,POL-1404,0.4029921891280479,17
A05,POL-0835,0.39917879713371196,18
A27,POL-2390,0.3963409325157448,19
A49,POL-0465,0.39327957118674806,20
A29,POL-1423,0.3920922261792336,21
A09,POL-3605,0.3907182761266703,22
A35,POL-3719,0.38567087226951324,23
A12,POL-1479,0.38312789252058344,24
A46,POL-1528,0.37491853830208444,25
A20,POL-1554,0.3670630388974404,26
A42,POL-1448,0.3632350876234901,27
A48,POL-3661,0.3629871104129365,28
A38,POL-1309,0.35756278981081907,29
A23,POL-0430,0.35721116246801105,30
A19,POL-0158,0.35470014782809145,31
A36,POL-0500,0.3536951943187261,32
A21,POL-3017,0.3515480980812391,33
A37,POL-0049,0.34149632113718364,34
A39,POL-0683,0.33576216579578594,35
A34,POL-3124,0.3233828003428901,36
A32,POL-0145,0.29184172505683215,37
A45,POL-0146,0.2828753779401456,38
A47,POL-3084,0.2573708419023141,39
A17,POL-3328,0.24901231784518402,40
A18,POL-0701,0.2391307938320103,41
A51,POL-1266,0.23477219925743256,42
A24,POL-0110,0.2240344271788325,43
A26,POL-0582,0.22282079078814698,44
A30,POL-3472,0.2112790066262969,45
A33,POL-1538,0.1915940872440952,46
A52,POL-0600,0.19055935811659597,47
A43,POL-3319,0.18645854963368197,48
A14,POL-2480,0.18039544661500237,49
A44,POL-0816,0.1769723315585333,50
A50,POL-0097,0.16463711795228014,51
A41,POL-3182,0.15603376463667584,52
